Date,Location,LocationID,Parameter,Units,Value
4/28/2015 12:00,Shuswap_River,SR,"Coliforms, Total",cfu,>= 6
4/28/2015 12:00,Shuswap_River,SR,E. coli,cfu,3
5/26/2015 12:00,Shuswap_River,SR,"Coliforms, Total",cfu,130
5/26/2015 12:00,Shuswap_River,SR,E. coli,cfu,6
6/23/2015 12:00,Shuswap_River,SR,"Coliforms, Total",cfu,>= 63
6/23/2015 12:00,Shuswap_River,SR,E. coli,cfu,7
6/30/2015 12:00,Shuswap_River,SR,"Carbon, Total Organic",mg/L,1.6
7/28/2015 12:00,Shuswap_River,SR,"Coliforms, Total",cfu,150
7/28/2015 12:00,Shuswap_River,SR,E. coli,cfu,17
8/25/2015 12:00,Shuswap_River,SR,"Coliforms, Total",cfu,>= 110
8/25/2015 12:00,Shuswap_River,SR,E. coli,cfu,26
9/22/2015 12:00,Shuswap_River,SR,"Coliforms, Total",cfu,>= 190
9/22/2015 12:00,Shuswap_River,SR,E. coli,cfu,19
10/20/2015 12:00,Shuswap_River,SR,"Carbon, Total Organic",mg/L,2.4
10/27/2015 12:00,Shuswap_River,SR,"Coliforms, Total",cfu,410
10/27/2015 12:00,Shuswap_River,SR,E. coli,cfu,12
11/28/2015 12:00,Shuswap_River,SR,"Coliforms, Total",cfu,46
11/28/2015 12:00,Shuswap_River,SR,E. coli,cfu,1
12/8/2015 12:00,Shuswap_River,SR,"Carbon, Total Organic",mg/L,1.6
12/16/2015 12:00,Shuswap_River,SR,"Coliforms, Total",cfu,62
12/16/2015 12:00,Shuswap_River,SR,E. coli,cfu,1
1/26/2016 12:00,Shuswap_Well,SW,Nitrate as N,mg/L,0.612
1/26/2016 12:00,Shuswap_Well,SW,Nitrite as N,mg/L,<0.010
1/26/2016 12:00,Shuswap_Well,SW,"Nitrogen, Total Kjeldahl",mg/L,0.08
1/26/2016 12:00,Shuswap_Well,SW,Nitrate+Nitrite as N,mg/L,0.612
1/26/2016 12:00,Shuswap_Well,SW,"Nitrogen, Total",mg/L,0.694
1/26/2016 12:00,Shuswap_Well,SW,"Coliforms, Total",cfu,<1
1/26/2016 12:00,Shuswap_Well,SW,E. coli,cfu,<1
2/23/2016 12:00,Shuswap_Well,SW,Nitrate as N,mg/L,1.08
2/23/2016 12:00,Shuswap_Well,SW,Nitrite as N,mg/L,<0.010
2/23/2016 12:00,Shuswap_Well,SW,"Nitrogen, Total Kjeldahl",mg/L,0.06
2/23/2016 12:00,Shuswap_Well,SW,Nitrate+Nitrite as N,mg/L,1.08
2/23/2016 12:00,Shuswap_Well,SW,"Nitrogen, Total",mg/L,1.13
2/23/2016 12:00,Shuswap_Well,SW,"Coliforms, Total",cfu,<1
2/23/2016 12:00,Shuswap_Well,SW,E. coli,cfu,<1
3/22/2016 12:00,Shuswap_Well,SW,Nitrate as N,mg/L,0.695
3/22/2016 12:00,Shuswap_Well,SW,Nitrite as N,mg/L,<0.010
3/22/2016 12:00,Shuswap_Well,SW,"Nitrogen, Total Kjeldahl",mg/L,0.14
3/22/2016 12:00,Shuswap_Well,SW,Nitrate+Nitrite as N,mg/L,0.695
3/22/2016 12:00,Shuswap_Well,SW,"Nitrogen, Total",mg/L,0.832
3/22/2016 12:00,Shuswap_Well,SW,"Coliforms, Total",cfu,<1
3/22/2016 12:00,Shuswap_Well,SW,E. coli,cfu,<1
3/22/2016 12:00,Shuswap_Well,SW,"Carbon, Total Organic",mg/L,2
4/26/2016 12:00,Shuswap_Well,SW,Nitrate (as N),mg/L,0.445
4/26/2016 12:00,Shuswap_Well,SW,Nitrite (as N),mg/L,<0.010
4/26/2016 12:00,Shuswap_Well,SW,"Nitrogen, Total Kjeldahl",mg/L,0.09
4/26/2016 12:00,Shuswap_Well,SW,Nitrate+Nitrite (as N),mg/L,0.445
4/26/2016 12:00,Shuswap_Well,SW,"Nitrogen, Total",mg/L,0.538
4/26/2016 12:00,Shuswap_Well,SW,"Coliforms, Total",cfu,<1
